subject,type,label
http://purl.obolibrary.org/obo/OBI_0002296,http://purl.obolibrary.org/obo/OBI_0002290,pM1a (colon)
http://purl.obolibrary.org/obo/OBI_0002296,http://www.w3.org/2002/07/owl#NamedIndividual,pM1a (colon)
http://purl.obolibrary.org/obo/OBI_0002297,http://purl.obolibrary.org/obo/OBI_0002290,pM1b (colon)
http://purl.obolibrary.org/obo/OBI_0002297,http://www.w3.org/2002/07/owl#NamedIndividual,pM1b (colon)
http://purl.obolibrary.org/obo/OBI_0002298,http://www.w3.org/2002/07/owl#Class,pathologic distant metastases stage for lung according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002299,http://purl.obolibrary.org/obo/OBI_0002298,cM0 (lung)
http://purl.obolibrary.org/obo/OBI_0002299,http://www.w3.org/2002/07/owl#NamedIndividual,cM0 (lung)
http://purl.obolibrary.org/obo/OBI_0002300,http://purl.obolibrary.org/obo/OBI_0002298,cM1 (lung)
http://purl.obolibrary.org/obo/OBI_0002300,http://www.w3.org/2002/07/owl#NamedIndividual,cM1 (lung)
http://purl.obolibrary.org/obo/OBI_0002301,http://purl.obolibrary.org/obo/OBI_0002298,cM1a (lung)
http://purl.obolibrary.org/obo/OBI_0002301,http://www.w3.org/2002/07/owl#NamedIndividual,cM1a (lung)
http://purl.obolibrary.org/obo/OBI_0002302,http://purl.obolibrary.org/obo/OBI_0002298,cM1b (lung)
http://purl.obolibrary.org/obo/OBI_0002302,http://www.w3.org/2002/07/owl#NamedIndividual,cM1b (lung)
http://purl.obolibrary.org/obo/OBI_0002303,http://purl.obolibrary.org/obo/OBI_0002298,pM1 (lung)
http://purl.obolibrary.org/obo/OBI_0002303,http://www.w3.org/2002/07/owl#NamedIndividual,pM1 (lung)
http://purl.obolibrary.org/obo/OBI_0002304,http://purl.obolibrary.org/obo/OBI_0002298,pM1a (lung)
http://purl.obolibrary.org/obo/OBI_0002304,http://www.w3.org/2002/07/owl#NamedIndividual,pM1a (lung)
http://purl.obolibrary.org/obo/OBI_0002305,http://purl.obolibrary.org/obo/OBI_0002298,pM1b (lung)
